序号,项目阶段,模块,"关键字
(表名+问题)","问题描述
(详细报错代码)",优先级,问题类型,问题截图,提出人,跟进人,提出时间,完成时间,问题状态,问题原因,解决方案（记录提交脚本的版本号）,备注说明,补充截图1,补充截图2,补充截图3,补充截图4,补充截图5,补充截图6
15,系统开发,ods,任务流DT_SYNC_006,"任务流DT_SYNC_006日志任务流执行编号836（参数设置了JVM 内存参数4g、maxBatchRows、Connection、concurrency、sslVerify、channel 4）等，实测JVM生效，maxBatchSize、maxBatchRows生效，但DataX HTTPReader 低版本并发参数（concurrency/connection/sslVerify/channel）全部失效而且speed设置流量速度控制""byte"", ""record""参数会导致任务直接报错，且仅单线程读取 [0-0-0-reader] ，ssl false还每页重复打印 “创建禁用 ssl 验证客户端”占用流量，按测试速度如果10 万行同步耗时将接近1 小时；单页耗时26~38 秒，采集要支持并发，按页分片",,系统问题,,@谭程俊,@刘洋,2025/11/26,2025/11/27,已解决待复测,,httpreader不设并发键，不支持自动分片并发，需要并发可以手动拆分成多个任务提交。中台hdsp数据同步任务并非基于标准datax，包括读取和写入的插件均属于二开产品，关于支持的参数应当参考hone配置界面参数所支持的配置，并非完全兼容datax的所有参数。关于日志打印，属于常规的日志采集任务，便于后续的运维人员排查问题，如有需要，也可联系研发来取消对应位置的日志打印采集。,谭：日志不需要清理，看能不能通过升级版本改进,,,,,,
16,系统开发,ods,OA表更改,"1、oa原来取表的任务，改成取视图
相应的后台表名、任务名同步重命名更新下
（范围：用户表、角色表、用户角色关联表）
2、补充这三张表的字段描述",,方案调整,,@饶嘉璇,@李朝中,2025/11/26,,已完成,,,,,,,,,
17,系统开发,文档,完善集成清单,参考图中plm的示例，从上往下，补充已入湖的ods表信息,,标准化,,@饶嘉璇,@谭程俊,2025/11/26,2025/12/2,已解决待复测,,,,,,,,,
18,系统开发,文档,完善集成清单,参考图中plm的示例，从下往上，补充已入湖的ods表信息,,标准化,,@饶嘉璇,@李朝中,2025/11/26,,已解决待复测,,,,,,,,,
19,系统开发,文档,完善模型清单,完善下已开发的数仓模型目录信息页,,标准化,,@饶嘉璇,@谭程俊,2025/11/26,2025/11/26,已完成,,,,,,,,,
20,系统开发,ods,任务流,PLM、SAP-ERP、SAP-BPC 需要根据集成清单，确认任务范围,高,,,@赵彦,@谭程俊,2025/11/26,2025/11/26,已完成,,,,,,,,,
21,系统开发,ods,任务流,OA、WMS、MES、EAM、QMS、SRM、BI,高,,,@赵彦,@李朝中,2025/11/26,2025/11/26,已完成,,,,,,,,,
22,系统开发,ods,迁移、挂调度,"1、迁移任务流，只迁移ods_all，参考文档【发布版】技术开发-数仓开发指导手册 
2、在ods_all任务流上挂调度：每天凌晨1点",高,,,@赵彦,@谭程俊,2025/11/26,2025/11/30,已解决待复测,,,,,,,,,
23,系统开发,ods,迁移,"1、迁移下ods层任务
SAP-ERP的：ZTMDTAB；VBPA；pa0001,ztsd007这四个表
2、迁移后跑下全量数据",高,,,@许凯文,@谭程俊,2025/11/26,2025/11/26,已完成,,,,,,,,,
24,系统开发,ods,任务&表,命名带上系统,中,标准化,,@饶嘉璇,@谭程俊,2025/11/27,2025/11/27,已完成,,,,,,,,,
25,系统开发,ods,qms表更改,ods_qms_view_user_df正式环境的这张表缺少ACU_Valid字段，测试环境里面是有这个字段的,高,,,@郑日天,@谭程俊@李朝中,2025/11/27,,已完成,,,,,,,,,
26,系统开发,ods,sap_erp缺少表单,正式环境缺少这张表ods_sap_erp_usr02_df,高,,,@郑日天,@赵彦,2025/11/27,2025/11/27,已完成,,,,,,,,,
27,系统开发,ods,缺失数据,汇率表只有一条数据ods_sap_erp_tcurr_df,高,开发问题,,@陈迎颖,@李朝中,2025/11/27,,已完成,,,,,,,,,
28,系统开发,ods,主键模型,sap、bpc的所有表，主键的指定要跟源系统的保持一致，批量检查后重跑下,高,开发问题,,@饶嘉璇,@李朝中,2025/11/27,,已解决待复测,bpc未分配,,,,,,,,
29,系统开发,ods,迁移表单,正式环境需要这张表ods_sap_erp_pa0002_df，迁移相关任务，并运行,高,,,@郑日天,@谭程俊,2025/11/27,2025/11/27,已完成,,,,,,,,,
30,系统开发,ods,模型设计,补充汇联易接口模型设计（对公支付单明细报表、费用明细台账）,低,,,@饶嘉璇,@谭程俊,2025/11/28,2025/12/2,已解决待复测,,,,,,,,,
31,系统开发,ods,任务&表,待基准价模块设计所有内容输出后，确认下取物料价格底表的任务是否还需保留（已换成取RFC）,,,,@饶嘉璇,@邵炜杰,2025/11/28,,未开始,,,,,,,,,
32,系统开发,ods,表,"ods_sap_erp_zhone_text_get_vbbk_di
换主键模型，主键字段为(vbeln,tdid)",高,,,@饶嘉璇,@谭程俊,2025/11/28,2025/12/1,已解决待复测,,,,,,,,,
33,系统开发,ods,变量统一,"1、后续统一使用任务的内置参数
 '${_p_current_date_time:-10:day:yyyy-MM-dd} 00:00:00'
2、导入前：不用delete，换成主键模型，来源不会有删除情况",低,标准化,,@饶嘉璇,@谭程俊,2025/11/28,2025/12/1,已完成,,,,,,,,,
34,系统开发,ods,数据校验,"ods_sap_单位换算系数有极端数值是有业务场景吗？,zhsxs精度要重新调整，部分有数的数据被截取：SELECT meinh_f, meinh_t, umrez, umren, umrez/umren AS calculated_factor, zhsxs
FROM ods.ods_sap_erp_zhone_unit_conversion_get_df
WHERE umren = 0 OR umrez/umren > 1000 OR umrez/umren < 0.001; ",中,开发问题,,@谭程俊,@饶嘉璇,2025/12/3,2025/12/3,已解决待复测,"极端大/小换算系数是正常业务场景；
目前这类单位在sap并未用到。",,,,,,,,
35,系统开发,dwd,数据逻辑,dwd_物料单位换算系数表的字段conv_denotor换算分母改了？SAP里mara没有UMREN这个字段，marm才有,中,开发问题,,@谭程俊,@邵炜杰,2025/12/3,2025/12/3,已完成,SAP提供逻辑时标错字段,UMREN来源表更新成marm,,,,,,,
36,系统开发,ods,bom单位转换相关,"1.1、plm_bom_item数据中包含组件单位为空的数据，逻辑上是否需要考虑该业务场景
1.2、plm_bom_item数据中的单位，为大小写混合，通用单位转换、物料单位转换都无小写单位，考虑来源系统数据质量问题
select distinct product_number,unit,default_unit from ods.ods_plm_bom_item_df
2、《dwd_物料单位换算系数》中，基本单位不等于目标单位，数据量为170条，基本单位=目标单位，数据量为50w+。《dwd_报价BOM生成》引用该表时，是否先加个筛选条件
select distinct mat_code,basic_unit,target_unit,conv_factor from dwd.dwd_fin_material_unit_conversion_factor_df
where basic_unit <>target_unit 
order by mat_code

待明天跟SAP过下",中,源系统问题,,@饶嘉璇,@邵炜杰,2025/12/4,,进行中,新增筛选条件,"1.1. 组件单位为空的数据都是0层成品，即最终物料，是正确的
SELECT * FROM ods_plm_bom_item_df
WHERE stage ='SmallBatchTrialProductionPassed' 
AND unit = ''
AND part_level <>0
1.2. 当前plm中单位多为小写；sap中单位多为全大写，数据规范问题，要求源系统进行优化。
2. 排除以下条件数据：
两个单位相同或任意单位缺失，则排除
mara.MEINS=marm.MEINH
或mara.MEINS=''
或marm.MEINH=''",,,,,,,
37,系统开发,ods,dwd_物料单位换算系数,"增加筛选条件
重新运行接口",中,方案调整,,@邵炜杰,@谭程俊,2025/12/4,2025/12/4,已完成,加了就剩下172条数据了，另外spras = '1'没有zh@邵炜杰,,,,,,,,
38,系统开发,ods,字段精度,同步工具的字段校验规则是否未启用，采集数据超长 / 超精度数据目前没主动报错，导致字符串和数值类内容会自动截取，数据失真,中,,,@谭程俊,@刘洋,2025/12/4,2025/12/4,已取消,,,,,,,,,
39,系统开发,ods,ods_plm_标准BOM,增加筛选条件,低,方案调整,,@邵炜杰,@谭程俊,2025/12/4,2025/12/4,已完成,,,,,,,,,
40,系统开发,dwd,dwd_报价BOM生成,调整字段计算逻辑，取消部分字段,中,方案调整,,@邵炜杰,@谭程俊,2025/12/5,2025/12/12,已完成,当前方案委外金额为0,,,,,,,,
41,系统开发,系统,starrocks库（版本： 3.3.19）计算引擎,"1、存在cte表达式sql查询结果与处理逻辑不一致
2、同一cte查询多次执行结果不一样",高,系统问题,,@李朝中,@刘洋,2025/12/5,,已完成,,"https://github.com/StarRocks/starrocks/pull/66441
可以 set global enable_group_execution=false;",,,,,,,
42,系统开发,dwd,委外金额,委外金额当前逻辑没数，经查SAP 表中符合esokz='3' AND sobsl='30'的委外记录，工厂（werks）只有 2020；但组件行（非 0 级）的工厂（factory_code）是 B010/1010，两者无交集，导致即使mat_code、esokz等条件匹配，也因工厂不一致关联失败，最终委外金额为 0。,中,"方案调整,开发问题",,@谭程俊,@邵炜杰,2025/12/8,,未开始,,,,,,,,,
43,系统开发,ods,MES系统缺少表单数据,正式环境MES系统三套数据源，账号清单只有大亚湾显示屏OrBitEFXSP的，缺少另外两个表OrBitEFXSP_NC和OrBitEFZM,高,方案调整,,@郑日天,@李朝中,2025/12/8,2025/12/10,已完成,,"1、重新设定四个数据源（MES），见补充截图1。若网络不通，找蔡工辅助
2、修改之前开发的表&任务&任务流，重新抽取数据，见补充截图2。若来源表无权限，找蔡工辅助。
3、迁移至生产环境，删掉冗余的表、任务、任务流",,,,,,,
44,系统开发,系统,元数据与血缘,元数据采集是否生效，元数据是血缘关系的基础，确保经工作流流转的表字段都有血缘；采集元数据怎么配置生效，dwd/dim的表没看见血缘,中,系统问题,,@谭程俊,@刘洋,2025/12/9,,进行中,报错是因为没有mysql_default这个数据源，具体哪个表没有血缘，可以列出来，具体分析原因;@刘洋,,,,,,,,
45,系统开发,系统,udf,udf功能官方支持，平台显示不支持https://docs.mirrorship.cn/zh/docs/3.3/sql-reference/sql-functions/JAVA_UDF/    ;https://docs.mirrorship.cn/zh/docs/3.3/sql-reference/sql-statements/Function/CREATE_FUNCTION/,低,系统问题,,@谭程俊,@刘洋,2025/12/10,,未开始,,,,,,,,,
46,系统开发,系统,datax,sapjco3.jar:20140416 0119 [3.0.11 (2014-04-15)] 是 SAP JCo 3.0.11 版本（发布于 2014 年 4 月)10年前的版本，建议升级符合平台环境的最近稳定版,低,系统问题,,@谭程俊,@刘洋,2025/12/12,,未开始,,,,,,,,,
47,系统开发,dwd,dwd_外协成品计算,"修改引用到dim_product_info_df.pci_bom_code字段
由pci_std_bom_code改为pci_bom_code",高,功能调整,,@邵炜杰,@谭程俊,2025/12/12,2025/12/22,已解决待复测,,,,,,,,,
48,系统开发,dwd,dwd_报价BOM生成模型,"修改引用到dim_product_info_df.pci_bom_code字段
由pci_std_bom_code改为pci_bom_code
表名更新",高,功能调整,,@邵炜杰,@谭程俊,2025/12/12,2025/12/22,已完成,,,,,,,,,
49,系统开发,dim,dim_产品维表,"修改引用到dim_product_info_df.pci_bom_code字段
由pci_std_bom_code改为pci_bom_code
表名更新",高,功能调整,,@邵炜杰,@谭程俊,2025/12/12,2025/12/22,已完成,,,,,,,,,
50,系统开发,系统,TCURR,TCURR表，gdatu字段值跟SAP系统不一致，详见补充截图1,高,开发问题,,@饶嘉璇,@李朝中,2025/12/12,,已解决待复测,SAP逆算日期机制问题,"若sap源数据采集过程，日期格式数据，遇到逆算日期问题： 逆算日期 = 99999999 - YYYYMMDD，如99999999 - 20010101 = 79799168 做实际存储日期，可以在数据同步时做下转换处理：DATE(TO_DATE(CHAR((99999999 - CAST(GDATU AS INTEGER))), 'YYYYMMDD'))",,,,,,,
51,系统开发,dwd,dwd_外协成品计算,外协成本计算，新增取数表、修改筛选逻辑、新增字段、删除物料数量字段,高,方案调整,,@邵炜杰,@谭程俊,2025/12/15,2025/12/22,已解决待复测,,,,,,,,,
52,系统开发,系统,TCURR,TCURF表，gdatu字段值跟SAP系统不一致,高,开发问题,,@谭程俊,@谭程俊,2025/12/15,2025/12/15,已解决待复测,SAP逆算日期机制问题,同50行问题,,,,,,,
53,系统开发,ods,"预算费用科目维
预算实体维度","表名、任务名调整下
加上RFC名
ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df
ods_sap_bpc_zhone_get_dimension_attribute_u_account_df",中,标准化,,@饶嘉璇,@蔡岸榕,2025/12/15,,已解决待复测,,,,,,,,,
54,系统开发,dwd,模型需求问题,"【ods_sap_物料价格】
1、提供工厂参数信息，固定值：1010;2020;1050;B010。工厂写s问题，待讨论是否通过配置表或者其它数据表去捕获。（确认，取《ods_hone_制造工厂映射.采购组织编码》ods_hone_manu_factory_mapping_df.purchase_org_code，将值用英文逗号拼接起来）
2、确认采购组织取优先级：特殊物料必须通过1010海外采购
【dwd_产品成本计算参数】
1.填报的数据谁来填-成本工程师(损耗、制费)计划部（供货比例）
2、待确认按pci_code还是offerring填制（offerring，填报库先将损耗、制费、供货比例表建好
3、ods_sap_erp_t001w_df 工厂/分支机构表不存在factory_code，关联条件待确认（已换成werks）
【dwd_物料价格计算】
1、提供工厂参数信息（1010、2020、1050、B010）工厂写s问题，待讨论是否通过配置表或者其它数据表去捕获。（配置表
2、待确认RFC入参问题（产研已升级驱动，允许表形式入参）
3、确认采购组织取优先级：特殊物料必须通过1010海外采购
4、确认sap汇率转换逻辑，新增汇率表
【ods_srm_物料预估价格】
1、本周与SRM沟通并确认字段及接口方式（我们提供底表，srm推送数据
2、五个价格为空的时候，要告诉srm补充物料价格，需要包含产品系列等信息，触发节点可能需要后置（我们主动推送
【dwd_价格缺失物料信息】
1.、确认标品是否需要对应到产品系列、产品线，当前物料对应不到pci产品。
2. 定制品相关信息需确认（虚拟物料信息谁来提供暂无反馈）@邵炜杰
3、 中台推送底表至SRM
【dwd_替代情况生成结果表】
1、为什么不加工厂编码？(替代规则中，物料的替代是不区分工厂的
【dm_最高测算成本展示表】
1、PCI-BOM编码和PCI-标准BOM编码是同一个吗？（是的，已调整",,需求确认,,@饶嘉璇,@邵炜杰,2025/12/16,2025/12/16,已完成,,,,,,,,,
55,系统开发,ods,补充字段描述,"数据字典
1、ods_sap_erp_ztfi057_df：所有字段
2、ods_sap_bpc_user_addr_df：idadtype
3、ods_sap_bpc_uje_team_agr_df：所有字段
4、ods_plm_membershiplink_df
5、ods_plm_wtgroup_df
6、ods_plm_wtpart_df
7、ods_plm_wtpartmaster_df
8、ods_plm_wtpartusagelink_df
9、ods_plm_wtuser_df",,标准化,,@饶嘉璇,@蔡岸榕,2025/12/16,2025/12/19,已解决待复测,,,,,,,,,
56,系统开发,ods,更新表编码,1、更新模型设计中，所有用到《ods_aps_替代规则》的表编码,,方案调整,,@饶嘉璇,@李朝中,2025/12/16,,已解决待复测,,,,,,,,,
57,系统开发,ods,补充字段描述,"数据字典
1、ods_sap_erp_vbrp_df：perop_beg有字段描述，确认下有没有描述错位的情况
2、ods_sap_erp_vbrk_df：补充nrzas字段描述
3、ods_sap_erp_vbkd_df：补充perop_beg、perop_end
4、ods_sap_erp_vbap_df：ferc_ind
5、ods_sap_erp_vbak_df：zproduct、psm_budat
6、ods_sap_erp_kna1_df：zdate",,标准化,,@饶嘉璇,@李朝中,2025/12/16,,已解决待复测,源系统没有相关字段中文注释,,,,,,,,
58,系统开发,ods,清理任务,"待上线前处理
1、移除状态为【暂时用不到】的任务
2、点击提交ods_all并迁移至生产",,数据收集,,@饶嘉璇,,2025/12/16,,未开始,,,,,,,,,
59,系统开发,ods,入湖负责人,"数据集成清单
1、源系统抽取条件：与任务中一致，若有筛选条件需补充加上
2、同步父任务流：若该任务已包含到父任务流（直接），则补充上
注意：许凯文、郑日天的任务，需包含到相应父任务流并提交，最后迁移到生产，提交并运行

可参考，筛选入湖负责人：饶嘉璇",低,标准化,,@饶嘉璇,@蔡岸榕,2025/12/16,,暂挂,,,,,,,,,
60,系统开发,ods,入湖负责人,"数据集成清单
1、源系统抽取条件：与任务中一致，若有筛选条件需补充加上
2、同步父任务流：若该任务已包含到父任务流（直接），则补充上
注意：许凯文、郑日天的任务，需包含到相应父任务流并提交，最后迁移到生产，提交并运行

可参考，筛选入湖负责人：饶嘉璇",低,标准化,,@饶嘉璇,@李朝中,2025/12/16,,暂挂,,,,,,,,,
61,系统开发,ods,入湖负责人,"数据集成清单
1、源系统抽取条件：与任务中一致，若有筛选条件需补充加上
2、同步父任务流：若该任务已包含到父任务流（直接），则补充上
注意：许凯文、郑日天的任务，需包含到相应父任务流并提交，最后迁移到生产，提交并运行

可参考，筛选入湖负责人：饶嘉璇",低,标准化,,@饶嘉璇,@谭程俊,2025/12/16,,暂挂,,,,,,,,,
62,系统开发,ods,优化,"数据集成
1、SAP-ERP：交货单抬头长文本",低,优化项,,@饶嘉璇,@刘洋,2025/12/16,,未开始,,,,,,,,,
63,系统开发,ods,优化,"数据集成改造，加上读取配置表
SAP-ERP：物料价格",中,方案调整,,@饶嘉璇,@赵彦,2025/12/17,2025/12/17,已解决待复测,,,,,,,,,
64,系统开发,ods,模型需求问题,"【dim_汇率】
1、SAP--汇率问题待决策，取年月，还是按起始日期--汇率维度确认每日更新保留一版当日汇率，从而可以直接用日期匹配
2、出货金额相关字段，原来按什么日期取汇率：【订单审批日期】--确认按订单审批日期
3、期末汇率PEND还是用平均汇率M--汇率维度取进来PEMD\M\EURX三种类型汇率",高,需求确认,,@刘洋,@吴美琪,2025/12/17,2025/12/17,已完成,,,,,,,,,
65,系统开发,ods,修改字段类型,RFC获取表ZHONE_GET_KONV_SO，字段全是varchar，需要对比SAP更新字段类型重建表，并抽数,高,开发问题,,@赵彦,@蔡岸榕,2025/12/18,,已解决待复测,,,,,,,,,
66,系统开发,dm,新增字段,dm_最高测算成本展示表，新增产品面积字段,高,方案调整,,@邵炜杰,@谭程俊,2025/12/19,2025/12/22,已完成,,,,,,,,,
67,系统开发,ods,主键为空,"根据陈海棠回答，汇联易两个接口，唯一识别字段问题：
一、对公支付单明细报表（CorpExpDetailReport）(主键和答复一致)
陈回复：唯一识别字段组合为 <账套code + 单据单号 + 记录ID>，与沟通确认一致，字段对应关系：
 账套code：setOfBooksCode（必填参数，唯一标识账套）
 单据单号：businessCode（文档明确为“单据单号”，唯一标识单张单据）
 记录ID：integrationId（文档标注为“记录ID”，唯一标识单条明细记录）
 
二、费用明细报表（ExpenseDetailsReport）(实际数据不可用)
陈回复：唯一识别字段组合为 <账套id + 记录ID + 对应的申请单 + 关联报销单号>，字段对应关系：
 账套id：setOfBooksId（参数明确为“账套id”，唯一标识账套）
 记录ID：integrationId（文档标注为“记录ID”，唯一标识单条费用明细）
 对应的申请单：appBusinessCode（文档描述为“对应的申请单”，关联申请单唯一标识）问题：这个实际数据会有空值如图，无法做主键，只能用另外3个
 关联报销单号：businessCode（文档明确为“关联报销单号”，唯一标识关联的报销单）
 建议：数据来看，两个接口的“记录ID”均为 integrationId，是单条明细的核心唯一标识；费用明细报表也可以用：setOfBooksId（账套 id） + businessCode（关联报销单号） + integrationId（记录 ID）",中,开发问题,,@谭程俊,@饶嘉璇,2025/12/19,,已解决待复测,,,,,,,,,
68,系统开发,dwd,筛选逻辑变更,外购成品的筛选逻辑变更,,方案调整,,@邵炜杰,@谭程俊,2025/12/19,2025/12/22,已解决待复测,,,,,,,,,
69,系统开发,dwd,dwd_报价BOM生成,三级分类的 字段编码由 three_level_class调整为 three_lv_class,,方案调整,,@饶嘉璇,@谭程俊,2025/12/19,2025/12/19,已解决待复测,,,,,,,,,
70,系统开发,ods,ods_srm_物料预估价格,字段描述更新,,功能调整,,@邵炜杰,@刘洋,2025/12/19,,已解决待复测,,,,,,,,,
71,系统开发,dim,dim_科目维,科目维值取值范围扩大，以及科目类型名称逻辑补充,,方案调整,,@吴美琪,@李朝中,2025/12/19,,已完成,科目维值取值范围扩大后，科目类型名称无法映射的怎么处理？目前默认给null,,,,,,,,
72,系统开发,dwd,dwd_报价BOM生成,委外金额的逻辑确认，计算的是物料委外加工费，工序的委外当前没有体现在标准产品中，关于物料委外的筛选条件有更新,,方案调整,,@邵炜杰,@谭程俊,2025/12/22,2025/12/22,已解决待复测,,,,,,,,,
73,系统开发,dwd,dwd_测算成本计算,新增Offering字段；取供货比例逻辑变更；测算成本中的委外加工费可以开发,,功能调整,,@邵炜杰,@谭程俊,2025/12/22,2025/12/23,已解决待复测,,,,,,,,,
74,系统开发,报表,制费率填报表,基线字段应该为只读，且需要通过行中的【产品系列】自动带出《制费率基线值填报表》中对应的制费基线值,,开发问题,,@邵炜杰,@蔡岸榕,2025/12/22,,已解决待复测,,,,,,,,,
75,系统开发,dim,修改表名称,dim_product_info_df表名称更改为：dim_PBI产品信息维表,,无,,@佘伟萍,@谭程俊,2025/12/22,2025/12/30,已完成,模型设计文档已修正,,,,,,,,
76,系统开发,dim,修改表名称,dim.dim_mat_item_df表名成修改为：dim_plm物料单位与分类信息,,无,,@佘伟萍,@谭程俊,2025/12/22,2025/12/30,已完成,模型设计文档已修正,,,,,,,,
77,系统开发,dwd,dwd_订单明细模型,订单明细模型删减了定价单位、定价类型字段，修改了订单货值_含税、订单货值_不含税、订单单价_含税、订单单价_不含税字段逻辑,,源系统问题,,@吴美琪,@谭程俊,2025/12/22,2025/12/24,已完成,模型设计文档已修正,,,,,,,,
78,系统开发,系统开发,dwd_外协成品计算,新增Offering字段，表关联条件更新,,功能调整,,@邵炜杰,@谭程俊,2025/12/22,2025/12/23,已解决待复测,,,,,,,,,
79,系统开发,dwd,dwd_订单明细模型,由于订单抛转关系查询使用频率较高，因此新增了订单抛转关系表，dwd_订单明细模型表的字段逻辑改去该表,,方案调整,,@吴美琪,@谭程俊,2025/12/22,2025/12/23,已完成,模型设计文档已修正,,,,,,,,
80,系统开发,dwd,dwd_订单明细模型,客戶对订单分析维度新增了贸易条款方式和是否验收，因此在模型新增了两个字段,,用户变更,,@吴美琪,@谭程俊,2025/12/22,2025/12/23,已完成,模型设计文档已修正,,,,,,,,
81,系统开发,ods,SAP价格取数,查询ods_sap_erp_zhone_mat_purchase_price_get_df后，发现只有1010工厂，应该要根据映射表取1010、B010、1050、2020,,功能调整,,@邵炜杰,@饶嘉璇,2025/12/24,2025/12/24,已完成,将变量获取的SQL改为json格式,"select 
       replace(concat('[',group_concat(json_object('ZSWERKS', purchase_org_code)),']'),'""','\\""')  as p_purchase_org_code -- 采购组织编码
from ods.ods_hone_manu_factory_mapping_df",,,,,,,
82,系统开发,报表,制费率基线值填报表,填写另一个分类时报错,高,开发问题,,@邵炜杰,@蔡岸榕,2025/12/24,,已解决待复测,,,,,,,,,
83,系统开发,ods,用户表增添字段,SRM、HLY、PLM、MES、WMS、QMS、SAP-ERP、SAP-BPC系统的用户表增添账号类型字段，需要抽取该字段,,无,,@郑日天,@赵彦,2025/12/24,,已完成,,,,,,,,,
84,系统开发,报表,制费率基线值填报表,之前物理表名错误，已更正,高,标准化,,@邵炜杰,@蔡岸榕,2025/12/24,,已解决待复测,,,,,,,,,
85,系统开发,ods,有数查不出,"select * from ods.ods_sap_erp_vbak_df where vbeln='0000000004'，要加set global enable_group_execution=false;
才有数",,系统问题,,@谭程俊,@刘洋,2025/12/25,,已解决待复测,复现不了,,,,,,,,
